Date,Amount,Source,Description
2023-01-31,2500.00,Graduate_Assistant,Monthly stipend
2023-02-28,2500.00,Graduate_Assistant,Monthly stipend
2023-03-31,2500.00,Graduate_Assistant,Monthly stipend
2023-04-30,2500.00,Graduate_Assistant,Monthly stipend
2023-05-31,2500.00,Graduate_Assistant,Monthly stipend
2023-06-30,2500.00,Graduate_Assistant,Monthly stipend
2023-07-31,2500.00,Graduate_Assistant,Monthly stipend
2023-08-31,2500.00,Graduate_Assistant,Monthly stipend
2023-09-30,2500.00,Graduate_Assistant,Monthly stipend
2023-10-31,2500.00,Graduate_Assistant,Monthly stipend
2023-11-30,2500.00,Graduate_Assistant,Monthly stipend
2023-12-31,2500.00,Graduate_Assistant,Monthly stipend
2024-01-31,2500.00,Graduate_Assistant,Monthly stipend
2024-02-29,2500.00,Graduate_Assistant,Monthly stipend
2024-03-31,2500.00,Graduate_Assistant,Monthly stipend
2024-04-30,2500.00,Graduate_Assistant,Monthly stipend
2024-05-31,2500.00,Graduate_Assistant,Monthly stipend
2024-06-30,2500.00,Graduate_Assistant,Monthly stipend
2024-07-31,2500.00,Graduate_Assistant,Monthly stipend
2024-08-31,2500.00,Graduate_Assistant,Monthly stipend
2024-09-30,2500.00,Graduate_Assistant,Monthly stipend
2024-10-31,2500.00,Graduate_Assistant,Monthly stipend
2024-11-30,2500.00,Graduate_Assistant,Monthly stipend
2024-12-31,2500.00,Graduate_Assistant,Monthly stipend
2025-01-31,2500.00,Graduate_Assistant,Monthly stipend
2025-02-28,2500.00,Graduate_Assistant,Monthly stipend
2025-03-31,2500.00,Graduate_Assistant,Monthly stipend
2025-04-30,2500.00,Graduate_Assistant,Monthly stipend
2025-05-31,2500.00,Graduate_Assistant,Monthly stipend
2025-06-30,2500.00,Graduate_Assistant,Monthly stipend
2025-07-31,2500.00,Graduate_Assistant,Monthly stipend
2025-08-31,2500.00,Graduate_Assistant,Monthly stipend
2025-09-30,2500.00,Graduate_Assistant,Monthly stipend
2025-10-31,2500.00,Graduate_Assistant,Monthly stipend
2025-11-30,2500.00,Graduate_Assistant,Monthly stipend
2025-12-31,2500.00,Graduate_Assistant,Monthly stipend 